state_abbr,county,offense,total_2023,latitude,longitude
IA,CLINTON,Property Crime,845.0,41.851048,-90.18745
AK,WRANGELL,Property Crime,1.0,56.279121,-132.040325
NE,BLAINE,Violent Crime,0.0,41.92523,-99.990771
NC,YADKIN,Violent Crime,60.0,36.158765,-80.665164
PA,WAYNE,Property Crime,263.0,41.647007,-75.293195
OH,GALLIA,Property Crime,232.0,38.80956,-82.20281
FL,LAFAYETTE,Violent Crime,0.0,29.990066,-83.17851
UT,MORGAN,Property Crime,20.0,41.091027,-111.577885
GA,BARROW,Property Crime,1163.5,33.992009,-83.712303
KS,HAMILTON,Property Crime,40.0,37.995244,-101.793689
NY,NEW YORK,Property Crime,37.0,40.776557,-73.970174
NY,SUFFOLK,Property Crime,9652.0,40.900837,-73.3474
IL,UNION,Violent Crime,7.0,37.475207,-89.252808
OH,CLINTON,Property Crime,421.5,39.488464,-83.636604
IN,STEUBEN,Property Crime,379.0,41.643437,-85.002467
SD,SANBORN,Violent Crime,0.0,44.021032,-98.092105
AR,FRANKLIN,Property Crime,205.0,35.508573,-93.887672
KS,RENO,Property Crime,1075.0,38.053444,-97.93571
IL,PEORIA,Violent Crime,1567.0,40.650146,-89.652
TX,HOOD,Property Crime,741.0,32.430149,-97.831677
WV,TYLER,Violent Crime,35.0,38.34613,-81.63015
OR,BAKER,Violent Crime,15.0,44.791683,-117.84842
MN,DOUGLAS,Property Crime,280.5,45.884743,-95.37578
FL,ALACHUA,Violent Crime,1366.0,29.643612,-82.2908
MS,PERRY,Violent Crime,0.0,31.169307,-88.988755
TX,ATASCOSA,Violent Crime,124.5,28.891397,-98.535381
MN,STEVENS,Property Crime,60.0,45.593461,-95.992315
MS,PANOLA,Violent Crime,23.0,34.317448,-89.951744
TX,HIDALGO,Property Crime,16105.0,26.396384,-98.18099
NV,LYON,Property Crime,411.0,38.995132,-119.16177
KY,CRITTENDEN,Violent Crime,5.0,37.334797,-88.08108
NC,PITT,Property Crime,3967.0,35.591095,-77.372376
FL,COLUMBIA,Violent Crime,188.0,30.423128,-84.28066
MO,MARIES,Property Crime,17.0,38.162615,-91.923601
OR,LINN,Violent Crime,201.5,44.494824,-122.543755
