state_abbr,county,latitude,longitude,total_population,poverty_universe,poverty_below,poverty_rate,no_population,total_reported_crime_Violent Crime,total_reported_crime_Property Crime,property_crime_per_100k_Property Crime,violent_crime_per_100k_Violent Crime
ND,RICHLAND,46.266014,-96.60567,16550,15256,1582,0.103696906135291,false,26,222,1341.38972809668,157.099697885196
KS,JEWELL,39.787975,-98.209984,2909,2879,369,0.128169503299757,false,2,1,34.3760742523204,68.7521485046408
WI,ONEIDA,45.716198,-89.534988,38007,37407,3067,0.0819900018713075,false,48,261,686.715605020128,126.292525061173
NE,GREELEY,41.5676,-98.530566,2211,2183,244,0.111772789738891,false,0,2,90.4568068747173,0
UT,GRAND,38.573284,-109.54643,9697,9605,1632,0.169911504424779,false,48,150,1546.87016603073,494.998453129834
AL,COVINGTON,31.243987,-86.448721,37647,37028,6681,0.180431025170142,false,69,549,1458.28352856801,183.281536377401
GA,SUMTER,32.042197,-84.204259,29174,27412,6209,0.226506639427988,false,218,665,2279.42688695414,747.240693768424
SD,BEADLE,44.418265,-98.279422,19279,18915,2609,0.137932857520486,false,28,303,1571.65828103117,145.235748742155
ID,BONNER,48.312512,-116.59694,49456,48902,5231,0.106969040121058,false,46,446,901.811711420252,93.0119702361695
TX,MCLENNAN,31.306688,-97.24659,263608,254251,43507,0.171118304352785,false,974.5,5215,1978.31628782131,369.67770325635
CO,KIT CARSON,39.30534,-102.603023,7015,6922,633,0.0914475585091014,false,17,94,1339.9857448325,242.337847469708
AL,MARENGO,32.247591,-87.791091,19027,18794,4241,0.225657124614239,false,85,332,1744.88884217165,446.733589110212
TX,GUADALUPE,29.583532,-97.948858,178368,176246,15510,0.0880019972084473,false,293.5,2135,1196.96358091137,164.54745245784
NE,YORK,40.873056,-97.596742,14231,13402,1211,0.0903596478137591,false,18,132,927.552526175251,126.484435387534
IL,LAKE,42.357296,-88.10073,711885,693133,55934,0.0806973553416155,false,792,4910.5,689.788378740948,111.253924440043
MS,ITAWAMBA,34.281075,-88.363127,23942,22409,2423,0.108126199294926,false,6,69,288.196474814134,25.060563027316
FL,HARDEE,27.492846,-81.82158,25508,23615,5727,0.242515350412873,false,55,309,1211.38466363494,215.618629449584
MT,SILVER BOW,46.011528,-112.540474,35589,34543,5584,0.161653591176215,false,132,813,2284.41372334148,370.901121132934
IA,HOWARD,43.373245,-92.11591,9459,9260,778,0.0840172786177106,false,13,19,200.866899249392,137.435246854847
MS,LAMAR,31.197135,-89.514952,65081,64521,10386,0.160970846701074,false,97,1423,2186.50604631152,149.045036185676
OH,SUMMIT,41.121851,-81.534936,538087,529093,66926,0.126491939980306,false,2021.5,10670,1982.95071243126,375.682742753495
LA,OUACHITA,32.477664,-92.154848,,,,,true,1671,6041,,
TX,PALO PINTO,32.75221,-98.317974,28920,28639,4868,0.16997800202521,false,69.5,372,1286.30705394191,240.318118948824
KY,CALDWELL,37.10793,-87.88273,12631,12483,1731,0.138668589281423,false,9,129,1021.2968094371,71.2532657746813
FL,HOLMES,30.24214,-85.57792,19626,17820,2565,0.143939393939394,false,0,0,0,0
KS,EDWARDS,37.883595,-99.304746,2817,2758,453,0.164249456127629,false,19,33,1171.45899893504,674.476393326234
IL,MASON,40.301247,-90.0627,12878,12681,1778,0.140209762637016,false,23,62,481.44121758037,178.59916136046
ME,UNMAPPED COUNTY,44.417012,-69.765764,,,,,true,97,567,,
TX,NACOGDOCHES,31.610912,-94.68126,64897,59757,13307,0.222685208427465,false,138,737,1135.64571551844,212.644652295175
