name,total_population,poverty_universe,poverty_below,poverty_rate,county,state_name,state_abbr
"Anchorage Municipality, Alaska",289069,282916,26226,0.092698892957627,ANCHORAGE MUNICIPALITY,Alaska,AK
"Bethel Census Area, Alaska",18487,18105,4351,0.24032035349351008,BETHEL CENSUS AREA,Alaska,AK
"Bristol Bay Borough, Alaska",878,858,83,0.09673659673659674,BRISTOL BAY BOROUGH,Alaska,AK
"Chugach Census Area, Alaska",6964,6784,326,0.04805424528301887,CHUGACH CENSUS AREA,Alaska,AK
"Copper River Census Area, Alaska",2626,2593,295,0.1137678364828384,COPPER RIVER CENSUS AREA,Alaska,AK
"Denali Borough, Alaska",2029,1994,131,0.06569709127382146,DENALI BOROUGH,Alaska,AK
"Dillingham Census Area, Alaska",4780,4740,774,0.16329113924050634,DILLINGHAM CENSUS AREA,Alaska,AK
"Fairbanks North Star Borough, Alaska",95555,91890,5669,0.06169332898030253,FAIRBANKS NORTH STAR BOROUGH,Alaska,AK
"Haines Borough, Alaska",2077,2068,126,0.0609284332688588,HAINES BOROUGH,Alaska,AK
"Hoonah-Angoon Census Area, Alaska",2313,2313,291,0.125810635538262,HOONAH-ANGOON CENSUS AREA,Alaska,AK
"Juneau City and Borough, Alaska",31969,31336,2565,0.08185473576716876,JUNEAU CITY AND BOROUGH,Alaska,AK
"Kenai Peninsula Borough, Alaska",59843,58456,6790,0.11615574107020665,KENAI PENINSULA BOROUGH,Alaska,AK
"Ketchikan Gateway Borough, Alaska",13870,13697,1300,0.09491129444403884,KETCHIKAN GATEWAY BOROUGH,Alaska,AK
"Kodiak Island Borough, Alaska",12878,12543,966,0.07701506816551064,KODIAK ISLAND BOROUGH,Alaska,AK
"Kusilvak Census Area, Alaska",8277,8185,2555,0.3121563836285889,KUSILVAK CENSUS AREA,Alaska,AK
"Lake and Peninsula Borough, Alaska",1007,998,152,0.1523046092184369,LAKE AND PENINSULA BOROUGH,Alaska,AK
"Matanuska-Susitna Borough, Alaska",110677,107815,11111,0.10305616101655614,MATANUSKA-SUSITNA BOROUGH,Alaska,AK
"Nome Census Area, Alaska",9925,9587,2026,0.21132783978303954,NOME CENSUS AREA,Alaska,AK
"North Slope Borough, Alaska",10891,10744,897,0.08348845867460908,NORTH SLOPE BOROUGH,Alaska,AK
"Northwest Arctic Borough, Alaska",7611,7519,1384,0.18406703019018486,NORTHWEST ARCTIC BOROUGH,Alaska,AK
"Petersburg Borough, Alaska",3394,3301,188,0.056952438654953044,PETERSBURG BOROUGH,Alaska,AK
"Prince of Wales-Hyder Census Area, Alaska",5730,5690,858,0.1507908611599297,PRINCE OF WALES-HYDER CENSUS AREA,Alaska,AK
"Sitka City and Borough, Alaska",8393,8209,688,0.0838104519429894,SITKA CITY AND BOROUGH,Alaska,AK
"Skagway Municipality, Alaska",1308,1308,81,0.06192660550458716,SKAGWAY MUNICIPALITY,Alaska,AK
"Southeast Fairbanks Census Area, Alaska",6936,6867,911,0.1326634629386923,SOUTHEAST FAIRBANKS CENSUS AREA,Alaska,AK
"Wrangell City and Borough, Alaska",2106,2084,227,0.10892514395393474,WRANGELL CITY AND BOROUGH,Alaska,AK
"Yakutat City and Borough, Alaska",506,501,39,0.07784431137724551,YAKUTAT CITY AND BOROUGH,Alaska,AK
"Yukon-Koyukuk Census Area, Alaska",5271,5230,1086,0.20764818355640535,YUKON-KOYUKUK CENSUS AREA,Alaska,AK
"Apache County, Arizona",65680,64278,20070,0.31223746849621953,APACHE,Arizona,AZ
"Cochise County, Arizona",125458,119342,18544,0.15538536307419015,COCHISE,Arizona,AZ
"Coconino County, Arizona",144643,132808,23485,0.17683422685380398,COCONINO,Arizona,AZ
"Gila County, Arizona",53610,52303,9297,0.17775271016958874,GILA,Arizona,AZ
"Graham County, Arizona",38860,35747,6319,0.17677007860799507,GRAHAM,Arizona,AZ
"Greenlee County, Arizona",9452,9412,1016,0.10794730131746706,GREENLEE,Arizona,AZ
"La Paz County, Arizona",16605,16270,3001,0.1844499078057775,LA PAZ,Arizona,AZ
"Maricopa County, Arizona",4491987,4425433,497877,0.11250356744752435,MARICOPA,Arizona,AZ
"Mohave County, Arizona",217420,212617,35787,0.16831673854865792,MOHAVE,Arizona,AZ
"Navajo County, Arizona",107744,105125,25979,0.24712485136741974,NAVAJO,Arizona,AZ
"Pima County, Arizona",1049947,1021158,146560,0.14352333331374773,PIMA,Arizona,AZ
"Pinal County, Arizona",449219,429221,46664,0.10871788658989193,PINAL,Arizona,AZ
"Santa Cruz County, Arizona",48209,48023,9707,0.20213231160069134,SANTA CRUZ,Arizona,AZ
"Yavapai County, Arizona",241656,237390,29898,0.12594464804751673,YAVAPAI,Arizona,AZ
"Yuma County, Arizona",207685,200032,32921,0.1645786674132139,YUMA,Arizona,AZ
"Arkansas County, Arkansas",16773,16479,2425,0.14715698768129135,ARKANSAS,Arkansas,AR
"Ashley County, Arkansas",18722,18555,4215,0.22716248989490703,ASHLEY,Arkansas,AR
"Baxter County, Arkansas",42150,41701,6029,0.14457686866022398,BAXTER,Arkansas,AR
"Benton County, Arkansas",294541,290871,22138,0.07610934056678047,BENTON,Arkansas,AR
"Boone County, Arkansas",37896,37329,5018,0.13442631734040558,BOONE,Arkansas,AR
"Bradley County, Arkansas",10354,10255,2057,0.2005850804485617,BRADLEY,Arkansas,AR
"Calhoun County, Arkansas",4717,4520,601,0.1329646017699115,CALHOUN,Arkansas,AR
"Carroll County, Arkansas",28526,28199,4586,0.16262988049221602,CARROLL,Arkansas,AR
"Chicot County, Arkansas",9997,9286,2264,0.24380788283437432,CHICOT,Arkansas,AR
"Clark County, Arkansas",21378,18868,3810,0.20192919228323086,CLARK,Arkansas,AR
"Clay County, Arkansas",14399,14218,2449,0.17224644816429877,CLAY,Arkansas,AR
"Cleburne County, Arkansas",25048,24663,3415,0.13846652880833638,CLEBURNE,Arkansas,AR
"Cleveland County, Arkansas",7491,7407,1153,0.15566356149588229,CLEVELAND,Arkansas,AR
"Columbia County, Arkansas",22527,20458,4642,0.22690390067455274,COLUMBIA,Arkansas,AR
"Conway County, Arkansas",20872,20694,4261,0.20590509326374795,CONWAY,Arkansas,AR
"Craighead County, Arkansas",112097,108405,20670,0.19067386190673863,CRAIGHEAD,Arkansas,AR
"Crawford County, Arkansas",60792,59559,9998,0.16786715693681895,CRAWFORD,Arkansas,AR
"Crittenden County, Arkansas",47609,46760,9684,0.2071000855431993,CRITTENDEN,Arkansas,AR
"Cross County, Arkansas",16681,16496,3314,0.20089718719689623,CROSS,Arkansas,AR
"Dallas County, Arkansas",6351,6043,675,0.11169948700976336,DALLAS,Arkansas,AR
"Desha County, Arkansas",11041,10941,3164,0.2891874600127959,DESHA,Arkansas,AR
"Drew County, Arkansas",17143,16356,3720,0.22743947175348497,DREW,Arkansas,AR
"Faulkner County, Arkansas",126001,120454,18099,0.15025652946352966,FAULKNER,Arkansas,AR
"Franklin County, Arkansas",17220,16949,3197,0.1886246976222786,FRANKLIN,Arkansas,AR
"Fulton County, Arkansas",12239,12078,1782,0.14754098360655737,FULTON,Arkansas,AR
"Garland County, Arkansas",100062,98558,16237,0.16474563201363665,GARLAND,Arkansas,AR
"Grant County, Arkansas",18111,17896,2205,0.12321189092534644,GRANT,Arkansas,AR
"Greene County, Arkansas",46182,44944,7657,0.17036756852972587,GREENE,Arkansas,AR
"Hempstead County, Arkansas",19778,19495,3702,0.18989484483200822,HEMPSTEAD,Arkansas,AR
"Hot Spring County, Arkansas",33142,30848,5264,0.17064315352697096,HOT SPRING,Arkansas,AR
"Howard County, Arkansas",12701,12520,2477,0.19784345047923324,HOWARD,Arkansas,AR
"Independence County, Arkansas",38120,37113,7287,0.19634629375151563,INDEPENDENCE,Arkansas,AR
"Izard County, Arkansas",13866,12770,2692,0.21080657791699295,IZARD,Arkansas,AR
"Jackson County, Arkansas",16775,14360,3044,0.21197771587743733,JACKSON,Arkansas,AR
"Jefferson County, Arkansas",65780,59742,12300,0.2058853068193231,JEFFERSON,Arkansas,AR
"Johnson County, Arkansas",25932,25187,4874,0.19351252630325166,JOHNSON,Arkansas,AR
"Lafayette County, Arkansas",6211,6092,1658,0.2721602101116218,LAFAYETTE,Arkansas,AR
"Lawrence County, Arkansas",16265,15681,2854,0.18200369874370256,LAWRENCE,Arkansas,AR
"Lee County, Arkansas",8511,6953,1926,0.27700273263339564,LEE,Arkansas,AR
"Lincoln County, Arkansas",12966,8550,1512,0.17684210526315788,LINCOLN,Arkansas,AR
"Little River County, Arkansas",11959,11708,1927,0.16458831568158525,LITTLE RIVER,Arkansas,AR
"Logan County, Arkansas",21240,20880,3009,0.14410919540229886,LOGAN,Arkansas,AR
"Lonoke County, Arkansas",74747,73846,8232,0.11147523224006717,LONOKE,Arkansas,AR
"Madison County, Arkansas",17032,16850,2529,0.15008902077151334,MADISON,Arkansas,AR
"Marion County, Arkansas",17076,16864,3008,0.17836812144212524,MARION,Arkansas,AR
"Miller County, Arkansas",42588,41304,8694,0.21048808832074375,MILLER,Arkansas,AR
"Mississippi County, Arkansas",39749,38746,8150,0.2103442936045011,MISSISSIPPI,Arkansas,AR
"Monroe County, Arkansas",6681,6548,1452,0.2217470983506414,MONROE,Arkansas,AR
"Montgomery County, Arkansas",8571,8452,1762,0.2084713677236157,MONTGOMERY,Arkansas,AR
"Nevada County, Arkansas",8228,8054,2298,0.2853240625776012,NEVADA,Arkansas,AR
"Newton County, Arkansas",7175,7097,945,0.13315485416373116,NEWTON,Arkansas,AR
"Ouachita County, Arkansas",22317,21886,3913,0.1787900941240976,OUACHITA,Arkansas,AR
"Perry County, Arkansas",10073,9964,1558,0.15636290646326775,PERRY,Arkansas,AR
"Phillips County, Arkansas",15910,15782,4534,0.2872893169433532,PHILLIPS,Arkansas,AR
"Pike County, Arkansas",10182,9932,1871,0.18838099073701167,PIKE,Arkansas,AR
"Poinsett County, Arkansas",22740,22259,4466,0.20063794420234513,POINSETT,Arkansas,AR
"Polk County, Arkansas",19348,19040,3611,0.1896533613445378,POLK,Arkansas,AR
"Pope County, Arkansas",63830,60583,10633,0.1755112820428173,POPE,Arkansas,AR
"Prairie County, Arkansas",8162,7890,739,0.09366286438529785,PRAIRIE,Arkansas,AR
"Pulaski County, Arkansas",398949,391326,63472,0.1621972473078712,PULASKI,Arkansas,AR
"Randolph County, Arkansas",18733,18357,3879,0.21130903742441576,RANDOLPH,Arkansas,AR
"St. Francis County, Arkansas",22740,19768,5503,0.27837919870497774,ST. FRANCIS,Arkansas,AR
"Saline County, Arkansas",125724,124191,11244,0.09053796168804502,SALINE,Arkansas,AR
"Scott County, Arkansas",9839,9748,1678,0.1721378744357817,SCOTT,Arkansas,AR
"Searcy County, Arkansas",7861,7736,1896,0.2450879007238883,SEARCY,Arkansas,AR
"Sebastian County, Arkansas",128448,126382,20559,0.1626734819831938,SEBASTIAN,Arkansas,AR
"Sevier County, Arkansas",15797,15533,3049,0.19629176591772354,SEVIER,Arkansas,AR
"Sharp County, Arkansas",17597,17277,2997,0.17346761590553916,SHARP,Arkansas,AR
"Stone County, Arkansas",12474,12359,2665,0.21563233271300267,STONE,Arkansas,AR
"Union County, Arkansas",38368,37758,7327,0.1940515917156629,UNION,Arkansas,AR
"Van Buren County, Arkansas",15936,15742,3069,0.19495616821242537,VAN BUREN,Arkansas,AR
"Washington County, Arkansas",251863,242703,35887,0.14786385005541752,WASHINGTON,Arkansas,AR
"White County, Arkansas",77395,74202,12190,0.1642812862187003,WHITE,Arkansas,AR
"Woodruff County, Arkansas",6157,5976,1361,0.22774431057563588,WOODRUFF,Arkansas,AR
"Yell County, Arkansas",20195,19746,2621,0.1327357439481414,YELL,Arkansas,AR
"Alameda County, California",1651949,1624096,149752,0.09220637203712095,ALAMEDA,California,CA
"Alpine County, California",1695,1695,209,0.12330383480825959,ALPINE,California,CA
"Amador County, California",41029,37799,2931,0.07754173390830445,AMADOR,California,CA
"Butte County, California",209470,204601,37531,0.183435076074897,BUTTE,California,CA
"Calaveras County, California",45995,45528,6083,0.133610086100861,CALAVERAS,California,CA
"Colusa County, California",21895,21588,2332,0.10802297572725589,COLUSA,California,CA
"Contra Costa County, California",1161458,1151878,95048,0.08251568308449332,CONTRA COSTA,California,CA
"Del Norte County, California",27293,24952,2900,0.11622314844501443,DEL NORTE,California,CA
"El Dorado County, California",192299,190642,15754,0.08263656487028043,EL DORADO,California,CA
"Fresno County, California",1012152,994567,185717,0.18673151230636045,FRESNO,California,CA
"Glenn County, California",28623,28414,3511,0.12356584782149645,GLENN,California,CA
"Humboldt County, California",135418,132564,25064,0.18907093931987567,HUMBOLDT,California,CA
"Imperial County, California",179319,171599,33705,0.19641722853862784,IMPERIAL,California,CA
"Inyo County, California",18803,18392,1928,0.10482818616789909,INYO,California,CA
"Kern County, California",910433,886335,168825,0.19047538458934826,KERN,California,CA
"Kings County, California",152830,139672,23427,0.16772867861847757,KINGS,California,CA
"Lake County, California",68139,66900,11156,0.1667563527653214,LAKE,California,CA
"Lassen County, California",31177,23977,3279,0.13675605788881012,LASSEN,California,CA
"Los Angeles County, California",9848406,9693427,1322476,0.13643018098759088,LOS ANGELES,California,CA
"Madera County, California",158790,151968,30187,0.19864050326384503,MADERA,California,CA
"Marin County, California",258765,254311,19907,0.0782781712155589,MARIN,California,CA
"Mariposa County, California",17060,16893,2347,0.13893328597643995,MARIPOSA,California,CA
"Mendocino County, California",90709,89200,13524,0.15161434977578475,MENDOCINO,California,CA
"Merced County, California",285597,280675,51655,0.184038478667498,MERCED,California,CA
"Modoc County, California",8646,8468,1717,0.20276334435521964,MODOC,California,CA
"Mono County, California",13169,13056,1441,0.11037071078431372,MONO,California,CA
"Monterey County, California",435834,419124,52732,0.12581479466697207,MONTEREY,California,CA
"Napa County, California",136070,133332,11238,0.08428584285842858,NAPA,California,CA
"Nevada County, California",102452,101450,10745,0.1059142434696895,NEVADA,California,CA
"Orange County, California",3164063,3125637,296493,0.09485842405883985,ORANGE,California,CA
"Placer County, California",412435,408930,27419,0.06705059545643509,PLACER,California,CA
"Plumas County, California",19607,19338,2075,0.10730168579997931,PLUMAS,California,CA
"Riverside County, California",2449909,2413439,266955,0.11061186961841588,RIVERSIDE,California,CA
"Sacramento County, California",1584047,1565333,197472,0.12615334884015095,SACRAMENTO,California,CA
"San Benito County, California",66056,65660,5118,0.07794699969540055,SAN BENITO,California,CA
"San Bernardino County, California",2187816,2145516,291226,0.1357370441422949,SAN BERNARDINO,California,CA
"San Diego County, California",3282782,3193390,330602,0.1035269729034036,SAN DIEGO,California,CA
"San Francisco County, California",836321,823358,87135,0.10582881322583858,SAN FRANCISCO,California,CA
"San Joaquin County, California",787416,773079,97063,0.1255537920445388,SAN JOAQUIN,California,CA
"San Luis Obispo County, California",281486,267954,34424,0.12846981198265373,SAN LUIS OBISPO,California,CA
"San Mateo County, California",745100,738600,47945,0.06491334958028704,SAN MATEO,California,CA
"Santa Barbara County, California",443975,423928,58387,0.13772857655073503,SANTA BARBARA,California,CA
"Santa Clara County, California",1903297,1871483,128470,0.06864609510211955,SANTA CLARA,California,CA
"Santa Cruz County, California",266021,255068,28613,0.11217792902284882,SANTA CRUZ,California,CA
"Shasta County, California",181554,178633,23179,0.12975765955898405,SHASTA,California,CA
"Sierra County, California",2731,2633,325,0.12343334599316369,SIERRA,California,CA
"Siskiyou County, California",43834,43419,7196,0.16573389529929294,SISKIYOU,California,CA
"Solano County, California",450824,441245,42767,0.09692347788643497,SOLANO,California,CA
"Sonoma County, California",485642,478869,41044,0.08571028819990435,SONOMA,California,CA
"Stanislaus County, California",552250,547160,71943,0.13148439213392793,STANISLAUS,California,CA
"Sutter County, California",98971,98110,14494,0.14773213739679952,SUTTER,California,CA
"Tehama County, California",65520,64776,9988,0.15419291095467458,TEHAMA,California,CA
"Trinity County, California",15886,15721,2830,0.1800139940207366,TRINITY,California,CA
"Tulare County, California",475774,470078,83473,0.17757265815460413,TULARE,California,CA
"Tuolumne County, California",54873,51746,5547,0.1071966915317126,TUOLUMNE,California,CA
"Ventura County, California",838259,827580,74630,0.09017859300611421,VENTURA,California,CA
"Yolo County, California",217782,210055,34165,0.16264787793673086,YOLO,California,CA
"Yuba County, California",83079,81611,12501,0.1531778804327848,YUBA,California,CA
"Adams County, Colorado",524408,520338,48994,0.09415802805099763,ADAMS,Colorado,CO
"Alamosa County, Colorado",16515,15598,2843,0.18226695730221823,ALAMOSA,Colorado,CO
"Arapahoe County, Colorado",655709,649885,55261,0.0850319671941959,ARAPAHOE,Colorado,CO
"Archuleta County, Colorado",13730,13606,1134,0.08334558283110392,ARCHULETA,Colorado,CO
"Baca County, Colorado",3460,3364,810,0.2407847800237812,BACA,Colorado,CO
"Bent County, Colorado",5524,4252,1348,0.31702728127939794,BENT,Colorado,CO
"Boulder County, Colorado",328317,315677,36145,0.11449994773138367,BOULDER,Colorado,CO
"Broomfield County, Colorado",75110,74640,3695,0.049504287245444804,BROOMFIELD,Colorado,CO
"Chaffee County, Colorado",19876,18500,1844,0.09967567567567567,CHAFFEE,Colorado,CO
"Cheyenne County, Colorado",1732,1691,193,0.11413364872856298,CHEYENNE,Colorado,CO
"Clear Creek County, Colorado",9358,9282,631,0.06798103856927386,CLEAR CREEK,Colorado,CO
"Conejos County, Colorado",7536,7490,1032,0.1377837116154873,CONEJOS,Colorado,CO
"Costilla County, Colorado",3571,3551,793,0.22331737538721486,COSTILLA,Colorado,CO
"Crowley County, Colorado",5734,4177,762,0.1824275796025856,CROWLEY,Colorado,CO
"Custer County, Colorado",5073,5064,490,0.09676145339652449,CUSTER,Colorado,CO
"Delta County, Colorado",31353,30340,4310,0.14205669083717865,DELTA,Colorado,CO
"Denver County, Colorado",713734,701727,78668,0.11210627494737982,DENVER,Colorado,CO
"Dolores County, Colorado",2385,2385,448,0.1878406708595388,DOLORES,Colorado,CO
"Douglas County, Colorado",368283,366926,11841,0.03227081209835226,DOUGLAS,Colorado,CO
"Eagle County, Colorado",55374,55036,4553,0.08272766916200305,EAGLE,Colorado,CO
"Elbert County, Colorado",27152,27095,1444,0.053293965676324044,ELBERT,Colorado,CO
"El Paso County, Colorado",736008,714594,60977,0.08533097115285043,EL PASO,Colorado,CO
"Fremont County, Colorado",49394,41502,5800,0.1397523010939232,FREMONT,Colorado,CO
"Garfield County, Colorado",62034,61058,5539,0.0907170231583085,GARFIELD,Colorado,CO
"Gilpin County, Colorado",5877,5809,580,0.09984506799793424,GILPIN,Colorado,CO
"Grand County, Colorado",15794,15760,1420,0.0901015228426396,GRAND,Colorado,CO
"Gunnison County, Colorado",17158,16166,2115,0.13083013732525053,GUNNISON,Colorado,CO
"Hinsdale County, Colorado",939,939,42,0.04472843450479233,HINSDALE,Colorado,CO
"Huerfano County, Colorado",6946,6813,1193,0.1751064142081315,HUERFANO,Colorado,CO
"Jackson County, Colorado",1422,1416,258,0.18220338983050846,JACKSON,Colorado,CO
"Jefferson County, Colorado",579715,571679,38319,0.06702887459570843,JEFFERSON,Colorado,CO
