Utility.Number,Utility.Name,Utility.State,Utility.Type,Demand.Summer Peak,Demand.Winter Peak,Sources.Generation,Sources.Purchased,Sources.Other,Sources.Total,Uses.Retail,Uses.Resale,Uses.No Charge,Uses.Consumed,Uses.Losses,Uses.Total,Revenues.Retail,Revenue.Delivery,Revenue.Resale,Revenue.Adjustments,Revenue.Transmission,Revenue.Other,Revenue.Total,Retail.Residential.Revenue,Retail.Residential.Sales,Retail.Residential.Customers,Retail.Commercial.Revenue,Retail.Commercial.Sales,Retail.Commercial.Customers,Retail.Industrial.Revenue,Retail.Industrial.Sales,Retail.Industrial.Customers,Retail.Transportation.Revenue,Retail.Transportation.Sales,Retail.Transportation.Customers,Retail.Total.Revenue,Retail.Total.Sales,Retail.Total.Customers,Year
55,City of Aberdeen - (MS),MS,Municipal,33.0,31.0,0,205075,0,205075,201106,0,0,83,3887,205075,14617.0,0.0,0.0,0.0,0.0,281.4,205075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016
55,City of Aberdeen - (MS),MS,Municipal,33.0,31.0,0,205075,0,205075,201106,0,0,83,3887,205075,14617.0,0.0,0.0,0.0,0.0,281.4,205075,3913.0,35243.0,2607.0,5018.0,47874.0,669.0,5686.0,117989.0,2.0,0.0,0.0,0.0,14617.0,201106.0,3278.0,2016
59,City of Abbeville - (LA),LA,Municipal,32.9,23.0,0,142628,0,142628,132078,0,0,0,10550,142628,13457.0,0.0,0.0,0.0,0.0,0.0,142628,5748.2,55262.0,4531.0,4247.9,37857.0,1033.0,3460.9,38959.0,28.0,0.0,0.0,0.0,13457.0,132078.0,5592.0,2016
84,A & N Electric Coop,VA,Cooperative,158.6,161.1,157,725738,0,725895,674610,0,0,1685,49600,725895,72002.9,0.0,0.0,0.0,0.0,990.1,725895,248.0,2063.0,266.0,63.3,502.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,311.3,2565.0,310.0,2016
84,A & N Electric Coop,VA,Cooperative,158.6,161.1,157,725738,0,725895,674610,0,0,1685,49600,725895,72002.9,0.0,0.0,0.0,0.0,990.1,725895,39757.0,340556.0,31000.0,17027.4,157615.0,3987.0,14907.2,173874.0,8.0,0.0,0.0,0.0,71691.6,672045.0,34995.0,2016
97,Adams Electric Coop,IL,Cooperative,35.0,37.0,4450,172331,0,176781,164284,0,0,330,12167,176781,21629.0,0.0,0.0,0.0,0.0,251.0,176781,16207.0,111299.0,8513.0,5422.0,52985.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,21629.0,164284.0,8734.0,2016
108,Adams-Columbia Electric Coop,WI,Cooperative,124.4,82.5,0,523752,0,523752,468875,84,0,1018,53775,523752,63080.0,0.0,3.0,0.0,0.0,3076.0,523752,40934.0,256276.0,33915.0,8397.0,68234.0,1916.0,13749.0,144365.0,897.0,0.0,0.0,0.0,63080.0,468875.0,36728.0,2016
113,Agway Energy Services LLC,NY,Retail Power Marketer,82.7,82.5,0,457862,0,457862,452410,0,0,0,5452,457862,34960.7,0.0,0.0,0.0,0.0,0.0,457862,22492.1,281490.0,37286.0,9070.5,127353.0,7079.0,0.0,0.0,0.0,0.0,0.0,0.0,31562.6,408843.0,44365.0,2016
113,Agway Energy Services LLC,NY,Retail Power Marketer,82.7,82.5,0,457862,0,457862,452410,0,0,0,5452,457862,34960.7,0.0,0.0,0.0,0.0,0.0,457862,2542.6,31774.0,2861.0,855.5,11793.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,3398.1,43567.0,3277.0,2016
118,Adams Rural Electric Coop Inc,OH,Cooperative,24.5,30.5,0,117716,0,117716,109896,0,136,0,7684,117716,15579.0,0.0,0.0,0.0,0.0,379.0,117716,13527.0,93694.0,7209.0,2052.0,16202.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,15579.0,109896.0,7400.0,2016
122,Village of Arcade - (NY),NY,Municipal,23.0,38.0,0,157192,0,157192,150808,34,0,620,5730,157192,7000.0,0.0,2.0,0.0,0.0,479.0,157192,3391.0,66969.0,3610.0,2031.0,46024.0,564.0,1578.0,37815.0,15.0,0.0,0.0,0.0,7000.0,150808.0,4189.0,2016
123,City of Adel- (GA),GA,Municipal,21.0,20.0,0,117517,0,117517,111535,0,0,787,5195,117517,12645.0,0.0,0.0,0.0,0.0,0.0,117517,3719.0,26285.0,1994.0,4972.0,34879.0,564.0,3954.0,50371.0,15.0,0.0,0.0,0.0,12645.0,111535.0,2573.0,2016
150,Adrian Public Utilities Comm,MN,Municipal,3.0,3.0,8,13941,0,13941,12819,0,202,239,681,13941,1480.0,0.0,0.0,0.0,0.0,0.0,13941,728.0,6243.0,529.0,676.0,6008.0,107.0,76.0,568.0,2.0,0.0,0.0,0.0,1480.0,12819.0,638.0,2016
155,Agralite Electric Coop,MN,Cooperative,45.0,36.0,450,244604,0,245054,230961,0,0,348,13745,245054,20612.0,0.0,0.0,0.0,0.0,439.0,245054,9388.0,81802.0,4388.0,5390.0,77340.0,271.0,5834.0,71819.0,563.0,0.0,0.0,0.0,20612.0,230961.0,5222.0,2016
162,Aiken Electric Coop Inc,SC,Cooperative,219.4,230.0,0,984132,0,984132,940066,0,0,1379,42687,984132,112134.0,0.0,0.0,0.0,0.0,789.0,984132,84418.0,615270.0,44086.0,13957.0,135241.0,2741.0,13759.0,189555.0,16.0,0.0,0.0,0.0,112134.0,940066.0,46843.0,2016
176,Ajo Improvement Co,AZ,Investor Owned,1.5,1.0,0,9470,0,9470,9470,0,0,0,0,9470,923.0,0.0,0.0,0.0,0.0,0.0,9470,517.7,4772.0,769.0,405.3,4698.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,923.0,9470.0,979.0,2016
189,PowerSouth Energy Cooperative,AL,Cooperative,1847.0,1919.0,6187227,2686484,0,8873711,0,8537106,0,21195,315410,8873711,0.0,0.0,595624.2,0.0,457.9,308.4,8873711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016
195,Alabama Power Co,AL,Investor Owned,11233.0,10582.0,60196690,6448890,0,67142902,54952074,8921349,1638,128795,3139046,67142902,5395202.0,0.0,351536.0,-63399.0,64765.0,140790.0,67142902,2321848.0,18342899.0,1262752.0,1657249.0,14299128.0,199902.0,1416105.0,22310047.0,6090.0,0.0,0.0,0.0,5395202.0,54952074.0,1468744.0,2016
201,City of Alachua - (FL),FL,Municipal,28.2,25.5,0,133312,0,133312,130423,0,0,1150,1739,133312,15191.0,0.0,0.0,0.0,0.0,48.0,133312,5570.0,44900.0,3789.0,9621.0,85523.0,733.0,0.0,0.0,0.0,0.0,0.0,0.0,15191.0,130423.0,4522.0,2016
207,City of Alameda,CA,Municipal,56.3,63.4,0,358567,0,358567,341836,0,0,0,16731,358567,54060.9,0.0,0.0,0.0,0.0,8123.5,358567,20310.8,124253.0,30721.0,33750.1,217583.0,4112.0,0.0,0.0,0.0,0.0,0.0,0.0,54060.9,341836.0,34833.0,2016
213,Alaska Electric Light&Power Co,AK,Investor Owned,60.0,78.0,149485,265892,0,415377,393266,0,0,3987,18124,415377,42262.0,0.0,0.0,0.0,0.0,481.0,415377,16508.4,139419.0,14466.0,11369.5,115771.0,2262.0,14384.1,138076.0,125.0,0.0,0.0,0.0,42262.0,393266.0,16853.0,2016
219,Alaska Power and Telephone Co,WA,Investor Owned,1.0,1.0,20731,50811,0,71542,63391,714,0,1567,5870,71542,16671.0,0.0,82.0,0.0,0.0,1709.0,71542,7900.0,25754.0,5501.0,8771.0,37637.0,2335.0,0.0,0.0,0.0,0.0,0.0,0.0,16671.0,63391.0,7836.0,2016
221,Alaska Village Elec Coop Inc,AK,Cooperative,18.1,21.3,120393,0,0,120393,113088,0,0,0,7305,120393,48819.5,0.0,0.0,0.0,0.0,671.5,120393,19588.9,40289.0,7860.0,29230.6,72799.0,3058.0,0.0,0.0,0.0,0.0,0.0,0.0,48819.5,113088.0,10918.0,2016
230,Albany Water Gas & Light Comm,GA,Municipal,189.0,170.0,0,966123,0,966123,921579,0,0,0,44544,966123,97444.6,0.0,0.0,0.0,0.0,824.0,966123,37062.7,360766.0,31473.0,60381.9,560813.0,5610.0,0.0,0.0,0.0,0.0,0.0,0.0,97444.6,921579.0,37083.0,2016
232,City of Albemarle - (NC),NC,Municipal,66.4,64.2,0,311842,0,311842,291506,0,0,107,20229,311842,33904.0,0.0,0.0,0.0,0.0,381.2,311842,16786.4,126907.0,9826.0,14288.7,132173.0,2234.0,2828.9,32426.0,13.0,0.0,0.0,0.0,33904.0,291506.0,12073.0,2016
240,Albemarle Electric Member Corp,NC,Cooperative,55.5,68.0,0,232312,0,232312,214204,0,0,604,17504,232312,26690.0,0.0,0.0,0.0,0.0,-172.0,232312,22341.0,171975.0,11545.0,3902.0,36174.0,1118.0,447.0,6055.0,18.0,0.0,0.0,0.0,26690.0,214204.0,12681.0,2016
241,Albertville Municipal Utilities Board,AL,Municipal,107.0,107.0,0,605970,0,605970,584936,0,0,0,21034,605970,46619.0,0.0,0.0,0.0,0.0,700.7,605970,11478.0,119033.0,7915.0,17744.0,175359.0,2228.0,17397.0,290544.0,14.0,0.0,0.0,0.0,46619.0,584936.0,10157.0,2016
261,AGC Division of APG Inc,PA,Investor Owned,612.0,805.0,3479140,177903,0,3657043,2629819,869375,0,0,157849,3657043,84667.5,0.0,38212.0,0.0,0.0,2455.0,3657043,0.0,0.0,0.0,0.0,0.0,0.0,84667.5,2629819.0,1.0,0.0,0.0,0.0,84667.5,2629819.0,1.0,2016
276,Alcorn County Elec Power Assn,MS,Cooperative,127.0,109.0,0,632132,0,632132,607891,0,0,637,23603,632132,57193.0,0.0,0.0,0.0,0.0,1302.9,632132,24778.0,219979.0,14655.0,20413.0,174449.0,4144.0,12002.0,213463.0,6.0,0.0,0.0,0.0,57193.0,607891.0,18805.0,2016
289,City of Alexander City,AL,Municipal,24.3,23.4,0,145106,0,145106,130746,0,0,0,14360,145106,13408.0,0.0,0.0,0.0,0.0,0.0,145106,5553.0,53626.0,5155.0,4040.0,28828.0,1030.0,3815.0,48292.0,66.0,0.0,0.0,0.0,13408.0,130746.0,6251.0,2016
295,City of Alexandria - (MN),MN,Municipal,58.7,47.2,0,300216,0,300216,285698,0,0,0,14518,300216,24615.1,0.0,0.0,0.0,0.0,703.2,300216,7513.5,73007.0,7883.0,3688.7,38014.0,1668.0,13412.9,174677.0,200.0,0.0,0.0,0.0,24615.1,285698.0,9751.0,2016
296,Alfalfa Electric Coop Inc,OK,Cooperative,159.9,181.6,0,1131639,0,1131639,1109941,1442,0,360,19896,1131639,70397.0,0.0,93.0,0.0,0.0,330.0,1131639,372.0,3898.0,223.0,957.0,7445.0,728.0,1789.0,26677.0,22.0,0.0,0.0,0.0,3118.0,38020.0,973.0,2016
296,Alfalfa Electric Coop Inc,OK,Cooperative,159.9,181.6,0,1131639,0,1131639,1109941,1442,0,360,19896,1131639,70397.0,0.0,93.0,0.0,0.0,330.0,1131639,4631.0,48672.0,2747.0,6450.0,50354.0,4675.0,56198.0,972895.0,254.0,0.0,0.0,0.0,67279.0,1071921.0,7676.0,2016
298,City of Alexandria - (LA),LA,Municipal,170.0,115.0,86684,763921,0,850605,745248,86684,14371,0,4302,850605,71475.9,0.0,4039.5,0.0,0.0,0.0,850605,30309.9,307675.0,20299.0,40683.2,431634.0,3784.0,482.8,5939.0,6.0,0.0,0.0,0.0,71475.9,745248.0,24089.0,2016
305,Alger-Delta Coop Electric Assn,MI,Cooperative,15.1,13.5,0,84399,0,84399,76716,0,0,0,7683,84399,14016.0,0.0,0.0,0.0,0.0,0.0,84399,9852.0,47550.0,9449.0,2087.0,13527.0,522.0,2077.0,15639.0,1.0,0.0,0.0,0.0,14016.0,76716.0,9972.0,2016
307,Algoma Utility Comm,WI,Municipal,9.8,8.1,0,47255,0,47255,45161,0,0,78,2016,47255,4809.4,0.0,0.0,0.0,0.0,30.9,47255,1446.4,11283.0,1655.0,1643.6,14578.0,357.0,1719.4,19300.0,3.0,0.0,0.0,0.0,4809.4,45161.0,2015.0,2016
308,City of Acworth - (GA),GA,Municipal,27.5,20.5,0,102392,0,106076,99664,0,0,1538,4874,106076,13758.0,0.0,0.0,0.0,0.0,758.4,106076,9085.9,63470.0,5888.0,4467.0,34589.0,569.0,205.1,1605.0,2.0,0.0,0.0,0.0,13758.0,99664.0,6459.0,2016
309,City of Algona - (IA),IA,Municipal,25.0,19.0,77168,45222,0,230169,114814,111344,0,0,4011,230169,11178.0,0.0,3847.0,0.0,0.0,0.0,230169,4081.0,28886.0,3035.0,3408.0,29960.0,681.0,3689.0,55968.0,14.0,0.0,0.0,0.0,11178.0,114814.0,3730.0,2016
329,Allamakee-Clayton El Coop Inc,IA,Cooperative,30.2,29.0,0,143171,0,143171,125852,8958,0,558,7803,143171,17898.6,0.0,424.2,0.0,0.0,63.2,143171,16170.7,112068.0,9432.0,1727.9,13784.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,17898.6,125852.0,9952.0,2016
332,Allegheny Electric Coop Inc,PA,Cooperative,671.6,735.4,2001947,1584769,0,3597411,0,3534330,0,0,63081,3597411,0.0,0.0,211136.0,0.0,2600.0,3934.0,3597411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016
343,AEP Generating Company,OH,Investor Owned,2459.0,2463.0,13491086,0,0,13491086,0,13491086,0,0,0,13491086,0.0,0.0,563840.3,0.0,0.0,217.7,13491086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016
367,City of Alliance- (NE),NE,Municipal,24.3,21.2,30,120167,0,116938,110243,0,2244,0,4451,116938,13016.8,0.0,0.0,0.0,0.0,756.6,116938,4930.8,38514.0,4239.0,5239.5,43890.0,1053.0,2846.5,27839.0,13.0,0.0,0.0,0.0,13016.8,110243.0,5305.0,2016
392,Alpena Power Co,MI,Investor Owned,63.0,53.0,0,364303,0,364303,350941,0,0,134,13228,364303,33034.1,0.0,0.0,0.0,0.0,242.6,364303,11667.3,87893.0,13720.0,12136.8,107050.0,3971.0,9230.0,155998.0,4.0,0.0,0.0,0.0,33034.1,350941.0,17695.0,2016
