Utility.Number,Utility.Name,Utility.State,Utility.Type,Demand.Summer Peak,Demand.Winter Peak,Sources.Generation,Sources.Purchased,Sources.Other,Sources.Total,Uses.Retail,Uses.Resale,Uses.No Charge,Uses.Consumed,Uses.Losses,Uses.Total,Revenues.Retail,Revenue.Delivery,Revenue.Resale,Revenue.Adjustments,Revenue.Transmission,Revenue.Other,Revenue.Total,Retail.Residential.Revenue,Retail.Residential.Sales,Retail.Residential.Customers,Retail.Commercial.Revenue,Retail.Commercial.Sales,Retail.Commercial.Customers,Retail.Industrial.Revenue,Retail.Industrial.Sales,Retail.Industrial.Customers,Retail.Transportation.Revenue,Retail.Transportation.Sales,Retail.Transportation.Customers,Retail.Total.Revenue,Retail.Total.Sales,Retail.Total.Customers,Year
55,City of Aberdeen - (MS),MS,Municipal,32.9,30.1,0,192551,0,192551,181860,0,0,0,10691,192551,14317.0,0.0,0.0,0.0,0.0,213.2,192551,4003.0,32434.0,2571.0,3487.0,28398.0,730.0,6827.0,121028.0,2.0,0.0,0.0,0.0,14317.0,181860.0,3303.0,2023
84,A & N Electric Coop,VA,Cooperative,152.1,149.9,167,712091,0,712258,690446,0,1757,0,20055,712258,85039.3,0.0,0.0,0.0,0.0,1598.8,712258,285.6,2058.0,259.0,74.6,531.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,360.2,2589.0,301.0,2023
84,A & N Electric Coop,VA,Cooperative,152.1,149.9,167,712091,0,712258,690446,0,1757,0,20055,712258,85039.3,0.0,0.0,0.0,0.0,1598.8,712258,47400.5,355433.0,32835.0,20699.5,173949.0,4156.0,16579.1,158475.0,6.0,0.0,0.0,0.0,84679.1,687857.0,36997.0,2023
108,Adams-Columbia Electric Coop,WI,Cooperative,142.1,96.7,0,667290,0,667290,638852,71,945,0,27422,667290,82982.0,0.0,8.0,0.0,0.0,-29.0,667290,48038.0,275559.0,35649.0,11792.0,89336.0,2499.0,23152.0,273957.0,993.0,0.0,0.0,0.0,82982.0,638852.0,39141.0,2023
113,Agway Energy Services LLC,NY,Retail Power Marketer,24.6,24.6,0,149126,0,149126,148090,0,0,0,1036,149126,17284.4,0.0,0.0,0.0,0.0,0.0,149126,10.8,83.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,83.0,9.0,2023
113,Agway Energy Services LLC,NY,Retail Power Marketer,24.6,24.6,0,149126,0,149126,148090,0,0,0,1036,149126,17284.4,0.0,0.0,0.0,0.0,0.0,149126,12773.5,107720.0,14754.0,3290.7,30023.0,2499.0,0.0,0.0,0.0,0.0,0.0,0.0,16064.2,137743.0,17253.0,2023
113,Agway Energy Services LLC,NY,Retail Power Marketer,24.6,24.6,0,149126,0,149126,148090,0,0,0,1036,149126,17284.4,0.0,0.0,0.0,0.0,0.0,149126,1091.1,9195.0,1057.0,118.3,1069.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1209.4,10264.0,1105.0,2023
123,City of Adel- (GA),GA,Municipal,119.0,107.0,0,182425,0,182425,176598,0,0,0,5827,182425,15595.7,0.0,0.0,0.0,0.0,0.0,182425,4170.6,29557.0,2296.0,4765.6,37486.0,558.0,6659.5,109555.0,11.0,0.0,0.0,0.0,15595.7,176598.0,2865.0,2023
155,Agralite Electric Coop,MN,Cooperative,50.6,38.3,713,273048,0,273761,257351,0,0,326,16084,273761,25216.0,0.0,0.0,-499.0,0.0,249.0,273761,9502.0,75980.0,4326.0,6047.0,71154.0,429.0,9667.0,110217.0,617.0,0.0,0.0,0.0,25216.0,257351.0,5372.0,2023
162,Aiken Electric Coop Inc,SC,Cooperative,233.3,230.2,0,950452,0,950452,907354,0,0,1069,42029,950452,125749.0,0.0,0.0,0.0,0.0,4557.0,950452,97651.6,611111.0,48608.0,16011.8,133251.0,3306.0,12085.6,162992.0,15.0,0.0,0.0,0.0,125749.0,907354.0,51929.0,2023
