Utility.Number,Utility.Name,Utility.State,Utility.Type,Demand.Summer Peak,Demand.Winter Peak,Sources.Generation,Sources.Purchased,Sources.Other,Sources.Total,Uses.Retail,Uses.Resale,Uses.No Charge,Uses.Consumed,Uses.Losses,Uses.Total,Revenues.Retail,Revenue.Delivery,Revenue.Resale,Revenue.Adjustments,Revenue.Transmission,Revenue.Other,Revenue.Total,Retail.Residential.Revenue,Retail.Residential.Sales,Retail.Residential.Customers,Retail.Commercial.Revenue,Retail.Commercial.Sales,Retail.Commercial.Customers,Retail.Industrial.Revenue,Retail.Industrial.Sales,Retail.Industrial.Customers,Retail.Transportation.Revenue,Retail.Transportation.Sales,Retail.Transportation.Customers,Retail.Total.Revenue,Retail.Total.Sales,Retail.Total.Customers,Year
55,City of Aberdeen - (MS),MS,Municipal,32.9,35.2,0,213608,0,213608,209731,0,0,55,3821,213608,15391.0,0.0,0.0,0.0,0.0,264.9,213608,4185.0,37455.0,2566.0,5483.0,52636.0,664.0,5723.0,119640.0,2.0,0.0,0.0,0.0,15391.0,209731.0,3231.0,2018
59,City of Abbeville - (LA),LA,Municipal,29.0,21.6,0,139192,0,139192,129842,0,0,1258,8092,139192,12635.5,0.0,0.0,0.0,0.0,0.0,139192,5572.6,56479.0,4655.0,4053.7,37773.0,1032.0,3009.2,35590.0,27.0,0.0,0.0,0.0,12635.5,129842.0,5714.0,2018
84,A & N Electric Coop,VA,Cooperative,152.8,167.6,27,763001,0,763028,723344,0,0,1920,37764,763028,78076.4,0.0,0.0,0.0,0.0,1010.6,763028,279.9,2312.0,271.0,73.5,589.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,353.4,2901.0,314.0,2018
84,A & N Electric Coop,VA,Cooperative,152.8,167.6,27,763001,0,763028,723344,0,0,1920,37764,763028,78076.4,0.0,0.0,0.0,0.0,1010.6,763028,45278.0,386800.0,31382.0,18724.0,172307.0,4130.0,13721.0,161336.0,8.0,0.0,0.0,0.0,77723.0,720443.0,35520.0,2018
97,Adams Electric Coop,IL,Cooperative,36.0,39.0,4551,183020,0,187571,174976,0,0,361,12234,187571,23346.0,0.0,0.0,0.0,0.0,221.0,187571,17507.0,119449.0,8664.0,5839.0,55527.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,23346.0,174976.0,8889.0,2018
108,Adams-Columbia Electric Coop,WI,Cooperative,141.6,91.0,0,559514,0,559514,530437,90,0,1131,27856,559514,70520.0,0.0,6.0,0.0,0.0,-83.0,559514,44822.0,279803.0,34207.0,9739.0,78289.0,2211.0,15959.0,172345.0,932.0,0.0,0.0,0.0,70520.0,530437.0,37350.0,2018
113,Agway Energy Services LLC,NY,Retail Power Marketer,75.0,85.0,0,385853,0,385853,378795,0,0,0,7058,385853,34317.0,0.0,0.0,0.0,0.0,0.0,385853,23474.9,261491.0,32338.0,6761.7,77727.0,5138.0,0.0,0.0,0.0,0.0,0.0,0.0,30236.6,339218.0,37476.0,2018
113,Agway Energy Services LLC,NY,Retail Power Marketer,75.0,85.0,0,385853,0,385853,378795,0,0,0,7058,385853,34317.0,0.0,0.0,0.0,0.0,0.0,385853,3494.5,34126.0,3093.0,585.9,5451.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,4080.4,39577.0,3264.0,2018
118,Adams Rural Electric Coop Inc,OH,Cooperative,23.9,33.0,0,119756,0,119756,112662,0,0,135,6959,119756,15456.0,0.0,0.0,0.0,0.0,415.0,119756,13463.0,96940.0,7091.0,1993.0,15722.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,15456.0,112662.0,7463.0,2018
122,Village of Arcade - (NY),NY,Municipal,25.8,37.4,0,165839,0,165839,157457,0,0,613,7769,165839,7815.0,0.0,0.0,0.0,0.0,936.0,165839,4021.0,74233.0,3645.0,1961.0,42008.0,504.0,1833.0,41216.0,15.0,0.0,0.0,0.0,7815.0,157457.0,4164.0,2018
