Utility.Number,Utility.Name,Utility.State,Utility.Type,Demand.Summer Peak,Demand.Winter Peak,Sources.Generation,Sources.Purchased,Sources.Other,Sources.Total,Uses.Retail,Uses.Resale,Uses.No Charge,Uses.Consumed,Uses.Losses,Uses.Total,Revenues.Retail,Revenue.Delivery,Revenue.Resale,Revenue.Adjustments,Revenue.Transmission,Revenue.Other,Revenue.Total,Retail.Residential.Revenue,Retail.Residential.Sales,Retail.Residential.Customers,Retail.Commercial.Revenue,Retail.Commercial.Sales,Retail.Commercial.Customers,Retail.Industrial.Revenue,Retail.Industrial.Sales,Retail.Industrial.Customers,Retail.Transportation.Revenue,Retail.Transportation.Sales,Retail.Transportation.Customers,Retail.Total.Revenue,Retail.Total.Sales,Retail.Total.Customers,Year
55,City of Aberdeen - (MS),MS,Municipal,32.1,30.8,0,201323,0,201323,196650,0,0,0,4673,201323,13958.0,0.0,0.0,0.0,0.0,233.3,201323,3929.0,34013.0,2612.0,3373.0,29285.0,678.0,6656.0,133352.0,2.0,0.0,0.0,0.0,13958.0,196650.0,3292.0,2021
84,A & N Electric Coop,VA,Cooperative,152.0,150.0,313,745321,0,745634,716802,0,0,1906,26926,745634,74165.0,0.0,0.0,0.0,0.0,771.0,745634,258.0,2115.0,269.0,72.0,592.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,2707.0,313.0,2021
84,A & N Electric Coop,VA,Cooperative,152.0,150.0,313,745321,0,745634,716802,0,0,1906,26926,745634,74165.0,0.0,0.0,0.0,0.0,771.0,745634,43227.0,375900.0,32023.0,17467.0,169476.0,4260.0,13141.0,168719.0,7.0,0.0,0.0,0.0,73835.0,714095.0,36290.0,2021
108,Adams-Columbia Electric Coop,WI,Cooperative,95.7,77.1,0,593816,0,593816,556506,106,0,988,36216,593816,72013.0,0.0,3.0,0.0,0.0,1307.0,593816,43651.0,275873.0,35002.0,10434.0,84986.0,2411.0,17928.0,195647.0,971.0,0.0,0.0,0.0,72013.0,556506.0,38384.0,2021
113,Agway Energy Services LLC,NY,Retail Power Marketer,46.0,40.0,0,209234,0,209234,207571,0,0,0,1663,209234,19851.3,0.0,0.0,0.0,0.0,0.0,209234,14.3,119.0,10.0,5.0,45.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,164.0,13.0,2021
113,Agway Energy Services LLC,NY,Retail Power Marketer,46.0,40.0,0,209234,0,209234,207571,0,0,0,1663,209234,19851.3,0.0,0.0,0.0,0.0,0.0,209234,14143.8,149041.0,19010.0,3688.6,40905.0,3311.0,0.0,0.0,0.0,0.0,0.0,0.0,17832.4,189946.0,22321.0,2021
113,Agway Energy Services LLC,NY,Retail Power Marketer,46.0,40.0,0,209234,0,209234,207571,0,0,0,1663,209234,19851.3,0.0,0.0,0.0,0.0,0.0,209234,1817.6,15804.0,1600.0,182.0,1657.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1999.6,17461.0,1670.0,2021
155,Agralite Electric Coop,MN,Cooperative,50.0,41.0,558,267352,0,267910,251387,0,278,0,16245,267910,24019.0,0.0,0.0,0.0,0.0,-718.0,267910,9933.0,79442.0,4418.0,6919.0,92021.0,295.0,7167.0,79924.0,589.0,0.0,0.0,0.0,24019.0,251387.0,5302.0,2021
162,Aiken Electric Coop Inc,SC,Cooperative,217.0,223.8,0,966008,0,966008,922627,0,0,1079,42302,966008,110933.9,0.0,0.0,0.0,0.0,1155.0,966008,83700.7,613632.0,47152.0,15438.0,129454.0,3222.0,11795.2,179541.0,15.0,0.0,0.0,0.0,110933.9,922627.0,50389.0,2021
176,Ajo Improvement Co,AZ,Investor Owned,3.2,1.5,0,7870,0,7870,7870,0,0,0,0,7870,788.7,0.0,0.0,0.0,0.0,0.0,7870,514.3,4980.0,835.0,274.4,2890.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,788.7,7870.0,1039.0,2021
189,PowerSouth Energy Cooperative,AL,Cooperative,1999.0,2197.0,5332851,3961544,0,9294395,0,8972653,0,26342,295400,9294395,0.0,0.0,639118.9,0.0,438.7,252.2,9294395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
195,Alabama Power Co,AL,Investor Owned,10854.7,10870.2,62534395,6061205,0,68950909,51171828,14958179,1164,123498,2696240,68950909,5501132.0,0.0,548896.1,2391.8,72302.1,171757.4,68950909,2451698.0,17466982.0,1301017.0,1615224.0,12868285.0,202932.0,1434210.0,20836561.0,6149.0,0.0,0.0,0.0,5501132.0,51171828.0,1510098.0,2021
207,Alameda Municipal Power,CA,Municipal,54.2,62.7,0,340850,0,340850,326728,0,0,0,14122,340850,60766.2,0.0,0.0,0.0,0.0,0.0,340850,26519.1,131126.0,32044.0,34247.1,195602.0,4135.0,0.0,0.0,0.0,0.0,0.0,0.0,60766.2,326728.0,36179.0,2021
213,Alaska Electric Light & Power Co.,AK,Investor Owned,62.0,87.0,149121,283147,0,432268,404334,0,0,4811,23123,432268,45279.0,0.0,0.0,0.0,504.5,0.0,432268,19052.1,160027.0,15017.0,11678.5,117468.0,2395.0,14548.4,126839.0,121.0,0.0,0.0,0.0,45279.0,404334.0,17533.0,2021
219,Alaska Power and Telephone Co,WA,Investor Owned,1.0,1.0,25949,52051,0,78000,69768,0,0,1722,6510,78000,20187.0,0.0,0.0,0.0,0.0,2617.0,78000,8742.0,26792.0,5576.0,11445.0,42976.0,2618.0,0.0,0.0,0.0,0.0,0.0,0.0,20187.0,69768.0,8194.0,2021
221,Alaska Village Elec Coop Inc,AK,Cooperative,20.1,19.6,132532,0,0,132532,124134,0,0,3179,5219,132532,51326.7,0.0,0.0,0.0,0.0,545.2,132532,21051.9,44527.0,7872.0,30274.8,79607.0,3683.0,0.0,0.0,0.0,0.0,0.0,0.0,51326.7,124134.0,11555.0,2021
230,Albany Utility Board,GA,Municipal,176.9,132.2,0,885163,0,885163,872652,0,0,0,12511,885163,90428.0,0.0,0.0,0.0,0.0,525.3,885163,39235.0,350140.0,29071.0,51193.0,522512.0,4190.0,0.0,0.0,0.0,0.0,0.0,0.0,90428.0,872652.0,33261.0,2021
232,City of Albemarle - (NC),NC,Municipal,63.2,56.1,0,287835,0,287835,275576,0,105,0,12154,287835,30696.5,0.0,0.0,0.0,0.0,260.4,287835,16263.1,132783.0,10241.0,12484.6,119429.0,2252.0,1948.8,23364.0,12.0,0.0,0.0,0.0,30696.5,275576.0,12505.0,2021
240,Albemarle Electric Member Corp,NC,Cooperative,55.8,57.8,0,237821,0,237821,224814,0,0,632,12375,237821,29755.0,0.0,0.0,0.0,0.0,575.0,237821,25166.0,183878.0,12254.0,4060.0,34565.0,1095.0,529.0,6371.0,23.0,0.0,0.0,0.0,29755.0,224814.0,13372.0,2021
241,Albertville Municipal Utilities Board,AL,Municipal,115.4,107.5,0,646611,0,646611,630444,0,0,0,16167,646611,49707.0,0.0,0.0,0.0,0.0,815.3,646611,11828.0,121061.0,8143.0,18386.0,179347.0,2284.0,19493.0,330036.0,16.0,0.0,0.0,0.0,49707.0,630444.0,10443.0,2021
261,AGC Division of APGI Inc,PA,Investor Owned,351.7,329.3,3884641,125194,0,4009835,2722803,1240431,0,0,46601,4009835,159231.4,0.0,47456.0,885.0,0.0,1508.0,4009835,0.0,0.0,0.0,0.0,0.0,0.0,159231.4,2722803.0,2.0,0.0,0.0,0.0,159231.4,2722803.0,2.0,2021
