Utility.Number,Utility.Name,Utility.State,Utility.Type,Demand.Summer Peak,Demand.Winter Peak,Sources.Generation,Sources.Purchased,Sources.Other,Sources.Total,Uses.Retail,Uses.Resale,Uses.No Charge,Uses.Consumed,Uses.Losses,Uses.Total,Revenues.Retail,Revenue.Delivery,Revenue.Resale,Revenue.Adjustments,Revenue.Transmission,Revenue.Other,Revenue.Total,Retail.Residential.Revenue,Retail.Residential.Sales,Retail.Residential.Customers,Retail.Commercial.Revenue,Retail.Commercial.Sales,Retail.Commercial.Customers,Retail.Industrial.Revenue,Retail.Industrial.Sales,Retail.Industrial.Customers,Retail.Transportation.Revenue,Retail.Transportation.Sales,Retail.Transportation.Customers,Retail.Total.Revenue,Retail.Total.Sales,Retail.Total.Customers,Year
34,City of Abbeville - (SC),SC,Municipal,13.7,10.8,7000,59000,0,66000,58000,0,7000,0,1000,66000,7536.0,0.0,0.0,0.0,0.0,0.0,66000,4563.0,33000.0,3384.0,2973.0,25000.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,7536.0,58000.0,3844.0,2019
55,City of Aberdeen - (MS),MS,Municipal,32.4,30.3,0,209454,0,209454,204261,0,0,0,5193,209454,14797.0,0.0,0.0,0.0,0.0,139.3,209454,3930.0,34781.0,2566.0,5229.0,48943.0,662.0,5638.0,120537.0,1.0,0.0,0.0,0.0,14797.0,204261.0,3229.0,2019
59,City of Abbeville - (LA),LA,Municipal,28.9,22.0,0,137264,0,137264,127579,0,0,4049,5636,137264,12383.0,0.0,0.0,0.0,0.0,0.0,137264,5907.5,59232.0,4580.0,3464.4,32466.0,887.0,3011.1,35881.0,27.0,0.0,0.0,0.0,12383.0,127579.0,5494.0,2019
84,A & N Electric Coop,VA,Cooperative,154.0,162.4,596,743457,0,744053,704010,0,0,1889,38154,744053,78507.0,0.0,0.0,0.0,0.0,901.5,744053,273.5,2094.0,272.0,69.5,529.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,2623.0,316.0,2019
84,A & N Electric Coop,VA,Cooperative,154.0,162.4,596,743457,0,744053,704010,0,0,1889,38154,744053,78507.0,0.0,0.0,0.0,0.0,901.5,744053,44102.0,357988.0,31427.0,18546.0,167237.0,4183.0,15516.0,176162.0,8.0,0.0,0.0,0.0,78164.0,701387.0,35618.0,2019
87,City of Ada - (MN),MN,Municipal,2.1,2.2,0,20028,0,20028,20028,0,0,0,0,20028,1593.0,0.0,0.0,0.0,0.0,0.0,20028,860.0,9873.0,872.0,543.0,7540.0,255.0,190.0,2615.0,58.0,0.0,0.0,0.0,1593.0,20028.0,1185.0,2019
97,Adams Electric Coop,IL,Cooperative,37.0,43.0,4612,183534,0,188146,176102,0,0,367,11677,188146,23851.0,0.0,0.0,0.0,0.0,219.0,188146,17699.0,118628.0,8706.0,6152.0,57474.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,23851.0,176102.0,8931.0,2019
108,Adams-Columbia Electric Coop,WI,Cooperative,126.9,93.5,0,545904,0,545904,515186,79,0,1040,29599,545904,69348.0,0.0,5.0,0.0,0.0,428.0,545904,44046.0,272010.0,34323.0,10053.0,79768.0,2347.0,15249.0,163408.0,937.0,0.0,0.0,0.0,69348.0,515186.0,37607.0,2019
113,Agway Energy Services LLC,NY,Retail Power Marketer,65.0,67.0,0,300947,0,300947,293757,0,0,0,7190,300947,23676.8,0.0,0.0,0.0,0.0,0.0,300947,2.2,27.0,3.0,1.3,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,41.0,4.0,2019
113,Agway Energy Services LLC,NY,Retail Power Marketer,65.0,67.0,0,300947,0,300947,293757,0,0,0,7190,300947,23676.8,0.0,0.0,0.0,0.0,0.0,300947,16245.2,202991.0,26419.0,4385.3,59554.0,4294.0,0.0,0.0,0.0,0.0,0.0,0.0,20630.5,262545.0,30713.0,2019
113,Agway Energy Services LLC,NY,Retail Power Marketer,65.0,67.0,0,300947,0,300947,293757,0,0,0,7190,300947,23676.8,0.0,0.0,0.0,0.0,0.0,300947,2650.2,27064.0,2574.0,392.6,4107.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,3042.8,31171.0,2696.0,2019
118,Adams Rural Electric Coop Inc,OH,Cooperative,22.8,33.1,0,115777,0,115777,108752,0,134,0,6891,115777,15093.0,0.0,0.0,0.0,0.0,401.0,115777,13078.0,92887.0,7090.0,2015.0,15865.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0,15093.0,108752.0,7479.0,2019
122,Village of Arcade - (NY),NY,Municipal,26.9,41.4,0,172194,0,172194,164984,0,0,710,6500,172194,7890.0,0.0,0.0,0.0,0.0,944.0,172194,4001.0,76442.0,3663.0,2092.0,47409.0,497.0,1797.0,41133.0,15.0,0.0,0.0,0.0,7890.0,164984.0,4175.0,2019
123,City of Adel- (GA),GA,Municipal,37.9,28.5,0,167511,0,167511,164020,0,0,787,2704,167511,15700.0,0.0,0.0,0.0,0.0,0.0,167511,3988.0,27905.0,2080.0,7268.0,77492.0,588.0,4444.0,58623.0,18.0,0.0,0.0,0.0,15700.0,164020.0,2686.0,2019
149,City of Afton- (IA),IA,Municipal,1.0,1.0,0,7290,0,7290,6895,0,67,0,328,7290,887.0,0.0,0.0,0.0,0.0,0.0,7290,532.0,3985.0,434.0,355.0,2910.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,6895.0,514.0,2019
150,Adrian Public Utilities Comm,MN,Municipal,3.0,3.0,91,14748,0,14748,13256,0,151,298,1043,14748,1476.0,0.0,0.0,0.0,0.0,0.0,14748,767.0,6753.0,537.0,632.0,5937.0,112.0,77.0,566.0,2.0,0.0,0.0,0.0,1476.0,13256.0,651.0,2019
155,Agralite Electric Coop,MN,Cooperative,45.4,47.3,447,253275,0,253722,238558,0,0,342,14822,253722,22665.0,0.0,0.0,0.0,0.0,-60.0,253722,10671.0,87612.0,4383.0,6195.0,83325.0,290.0,5799.0,67621.0,578.0,0.0,0.0,0.0,22665.0,238558.0,5251.0,2019
157,Town of Advance - (IN),IN,Municipal,1.0,1.3,0,4774,0,4774,4364,0,0,0,410,4774,538.3,0.0,0.0,0.0,0.0,0.0,4774,455.5,3744.0,238.0,82.8,620.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,538.3,4364.0,271.0,2019
162,Aiken Electric Coop Inc,SC,Cooperative,222.7,222.6,0,980124,0,980124,938436,0,1145,0,40543,980124,115739.8,0.0,0.0,0.0,0.0,889.6,980124,87168.9,623544.0,45490.0,15710.8,134771.0,2553.0,12860.1,180121.0,16.0,0.0,0.0,0.0,115739.8,938436.0,48059.0,2019
174,Aitkin Public Utilities Comm,MN,Municipal,7.8,6.9,0,35966,0,35966,34494,0,1046,0,426,35966,4147.0,0.0,0.0,0.0,0.0,0.0,35966,1401.0,12921.0,1641.0,775.0,6058.0,268.0,1971.0,15515.0,79.0,0.0,0.0,0.0,4147.0,34494.0,1988.0,2019
176,Ajo Improvement Co,AZ,Investor Owned,1.5,1.0,0,7729,0,7729,7729,0,0,0,0,7729,793.1,0.0,0.0,0.0,0.0,0.0,7729,502.7,4717.0,799.0,290.4,3012.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,793.1,7729.0,942.0,2019
