Utility.Number,Utility.Name,Utility.State,Utility.Type,Demand.Summer Peak,Demand.Winter Peak,Sources.Generation,Sources.Purchased,Sources.Other,Sources.Total,Uses.Retail,Uses.Resale,Uses.No Charge,Uses.Consumed,Uses.Losses,Uses.Total,Revenues.Retail,Revenue.Delivery,Revenue.Resale,Revenue.Adjustments,Revenue.Transmission,Revenue.Other,Revenue.Total,Retail.Residential.Revenue,Retail.Residential.Sales,Retail.Residential.Customers,Retail.Commercial.Revenue,Retail.Commercial.Sales,Retail.Commercial.Customers,Retail.Industrial.Revenue,Retail.Industrial.Sales,Retail.Industrial.Customers,Retail.Transportation.Revenue,Retail.Transportation.Sales,Retail.Transportation.Customers,Retail.Total.Revenue,Retail.Total.Sales,Retail.Total.Customers,Year
201,City of Alachua - (FL),FL,Municipal,26.9,26.0,0,126529,0,126529,121530,0,0,1100,3899,126529,14734.0,0.0,0.0,0.0,0.0,54.0,126529,5545.0,43175.0,3736.0,9189.0,78355.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,14734.0,121530.0,4481.0,2015
207,City of Alameda,CA,Municipal,58.5,64.3,0,365070,0,365070,347728,0,0,0,17342,365070,52537.6,0.0,0.0,0.0,0.0,7829.6,365070,19393.7,126691.0,30745.0,33143.9,221037.0,4428.0,0.0,0.0,0.0,0.0,0.0,0.0,52537.6,347728.0,35173.0,2015
213,Alaska Electric Light&Power Co,AK,Investor Owned,61.0,76.0,152097,270791,0,422888,398452,0,0,4188,20248,422888,41366.0,0.0,0.0,0.0,0.0,498.0,422888,16530.0,139475.0,14292.0,11924.0,122347.0,2272.0,12912.0,136630.0,107.0,0.0,0.0,0.0,41366.0,398452.0,16671.0,2015
219,Alaska Power and Telephone Co,WA,Investor Owned,1.0,1.0,21382,51566,0,72948,64835,635,1579,5899,0,72948,17536.0,0.0,74.0,0.0,0.0,1810.0,72948,7478.0,25353.0,5413.0,10058.0,39482.0,2343.0,0.0,0.0,0.0,0.0,0.0,0.0,17536.0,64835.0,7756.0,2015
221,Alaska Village Elec Coop Inc,AK,Cooperative,18.5,22.7,120060,0,0,120060,112713,0,0,0,7347,120060,57884.5,0.0,0.0,0.0,0.0,757.8,120060,22337.1,39493.0,7801.0,35547.4,73220.0,3078.0,0.0,0.0,0.0,0.0,0.0,0.0,57884.5,112713.0,10879.0,2015
230,Albany Water Gas & Light Comm,GA,Municipal,195.0,171.0,0,963783,0,963783,937990,0,0,0,25793,963783,100283.0,0.0,0.0,0.0,0.0,629.8,963783,40258.0,370464.0,31473.0,60025.0,567526.0,5610.0,0.0,0.0,0.0,0.0,0.0,0.0,100283.0,937990.0,37083.0,2015
232,City of Albemarle - (NC),NC,Municipal,65.5,72.3,0,309887,0,309887,293511,0,0,160,16216,309887,34370.0,0.0,0.0,0.0,0.0,390.0,309887,17176.0,128975.0,9779.0,14248.0,130955.0,2206.0,2946.0,33581.0,14.0,0.0,0.0,0.0,34370.0,293511.0,11999.0,2015
240,Albemarle Electric Member Corp,NC,Cooperative,55.9,84.7,0,235356,0,235356,221133,0,0,630,13593,235356,28163.0,0.0,0.0,0.0,0.0,116.0,235356,23495.0,177374.0,11514.0,4142.0,36877.0,1113.0,526.0,6882.0,17.0,0.0,0.0,0.0,28163.0,221133.0,12644.0,2015
241,Albertville Municipal Utilities Board,AL,Municipal,102.9,112.8,0,581916,0,581916,568831,0,0,0,13085,581916,47356.0,0.0,0.0,0.0,0.0,721.0,581916,11492.0,120406.0,7818.0,17183.0,170720.0,2250.0,18681.0,277705.0,14.0,0.0,0.0,0.0,47356.0,568831.0,10082.0,2015
261,AGC Division of APG Inc,PA,Investor Owned,868.0,836.0,4531775,1130968,0,5662743,4531775,1016536,0,0,114432,5662743,181561.2,0.0,28101.0,0.0,611.0,2376.0,5662743,0.0,0.0,0.0,0.0,0.0,0.0,181561.2,4531775.0,1.0,0.0,0.0,0.0,181561.2,4531775.0,1.0,2015
