Utility.Number,Utility.Name,Utility.State,Utility.Type,Demand.Summer Peak,Demand.Winter Peak,Sources.Generation,Sources.Purchased,Sources.Other,Sources.Total,Uses.Retail,Uses.Resale,Uses.No Charge,Uses.Consumed,Uses.Losses,Uses.Total,Revenues.Retail,Revenue.Delivery,Revenue.Resale,Revenue.Adjustments,Revenue.Transmission,Revenue.Other,Revenue.Total,Retail.Residential.Revenue,Retail.Residential.Sales,Retail.Residential.Customers,Retail.Commercial.Revenue,Retail.Commercial.Sales,Retail.Commercial.Customers,Retail.Industrial.Revenue,Retail.Industrial.Sales,Retail.Industrial.Customers,Retail.Transportation.Revenue,Retail.Transportation.Sales,Retail.Transportation.Customers,Retail.Total.Revenue,Retail.Total.Sales,Retail.Total.Customers,Year
55,City of Aberdeen - (MS),MS,Municipal,32.0,30.0,0,199170,0,199170,193222,0,0,0,5948,199170,15876.0,0.0,0.0,0.0,0.0,227.2,199170,4345.0,34383.0,2588.0,3684.0,29241.0,711.0,7847.0,129598.0,2.0,0.0,0.0,0.0,15876.0,193222.0,3301.0,2022
84,A & N Electric Coop,VA,Cooperative,153.7,182.9,254,753741,0,753995,716289,0,0,1800,35906,753995,83165.1,0.0,0.0,0.0,0.0,1080.0,753995,301.4,2337.0,261.0,79.8,606.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,381.2,2943.0,303.0,2022
84,A & N Electric Coop,VA,Cooperative,153.7,182.9,254,753741,0,753995,716289,0,0,1800,35906,753995,83165.1,0.0,0.0,0.0,0.0,1080.0,753995,47388.3,376851.0,32415.0,20127.1,175360.0,4186.0,15268.5,161135.0,6.0,0.0,0.0,0.0,82783.9,713346.0,36607.0,2022
108,Adams-Columbia Electric Coop,WI,Cooperative,133.0,99.2,0,653524,0,653524,619126,94,1056,0,33248,653524,84691.0,0.0,7.0,0.0,0.0,851.6,653524,48027.2,279312.0,35333.0,11798.6,85681.0,2497.0,24865.2,254133.0,982.0,0.0,0.0,0.0,84691.0,619126.0,38812.0,2022
113,Agway Energy Services LLC,NY,Retail Power Marketer,18.4,18.4,0,177645,0,177645,173710,0,0,0,3935,177645,23471.2,0.0,0.0,0.0,0.0,0.0,177645,11.7,71.0,8.0,0.3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,73.0,9.0,2022
113,Agway Energy Services LLC,NY,Retail Power Marketer,18.4,18.4,0,177645,0,177645,173710,0,0,0,3935,177645,23471.2,0.0,0.0,0.0,0.0,0.0,177645,16996.2,125646.0,16583.0,4548.9,35377.0,2840.0,0.0,0.0,0.0,0.0,0.0,0.0,21545.1,161023.0,19423.0,2022
113,Agway Energy Services LLC,NY,Retail Power Marketer,18.4,18.4,0,177645,0,177645,173710,0,0,0,3935,177645,23471.2,0.0,0.0,0.0,0.0,0.0,177645,1708.7,11237.0,1202.0,205.4,1377.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1914.1,12614.0,1260.0,2022
155,Agralite Electric Coop,MN,Cooperative,47.7,35.1,689,266941,0,267630,250557,0,0,368,16705,267630,23964.1,0.0,0.0,-695.1,0.0,270.1,267630,10193.4,82914.0,4416.0,6663.9,89255.0,295.0,7106.8,78388.0,595.0,0.0,0.0,0.0,23964.1,250557.0,5306.0,2022
162,Aiken Electric Coop Inc,SC,Cooperative,235.9,298.0,0,989790,0,989790,945050,0,0,1257,43483,989790,121894.4,0.0,0.0,0.0,0.0,3785.9,989790,93692.6,641275.0,47697.0,16410.1,137875.0,3239.0,11791.7,165900.0,15.0,0.0,0.0,0.0,121894.4,945050.0,50951.0,2022
176,Ajo Improvement Co,AZ,Investor Owned,3.0,1.0,0,8320,0,8320,8320,0,0,0,0,8320,891.6,0.0,0.0,0.0,0.0,0.0,8320,584.5,5294.0,824.0,307.1,3026.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,891.6,8320.0,1035.0,2022
189,PowerSouth Energy Cooperative,AL,Cooperative,2125.0,2675.0,5594573,4082807,0,9677380,0,9361567,0,29714,286099,9677380,0.0,0.0,845827.4,0.0,352.8,331.0,9677380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
195,Alabama Power Co,AL,Investor Owned,13603.9,13346.7,60628842,11459766,0,72240880,52541533,16344007,1330,138706,3215304,72240880,6471449.0,0.0,928224.9,1320.6,91744.4,199147.1,72240880,2853361.0,18413315.0,1314594.0,1855463.0,13191710.0,206117.0,1762625.0,20936508.0,6125.0,0.0,0.0,0.0,6471449.0,52541533.0,1526836.0,2022
207,Alameda Municipal Power,CA,Municipal,63.6,64.0,0,346468,0,346468,334047,0,0,0,12421,346468,63740.4,0.0,0.0,0.0,0.0,0.0,346468,27618.3,133445.0,32146.0,36122.1,200602.0,4231.0,0.0,0.0,0.0,0.0,0.0,0.0,63740.4,334047.0,36377.0,2022
213,Alaska Electric Light & Power Co.,AK,Investor Owned,59.0,88.0,148434,280860,0,429294,405072,0,0,4677,19545,429294,46496.8,0.0,0.0,0.0,615.1,0.0,429294,20081.7,162982.0,15159.0,13045.9,125095.0,2423.0,13369.2,116995.0,119.0,0.0,0.0,0.0,46496.8,405072.0,17701.0,2022
219,Alaska Power and Telephone Co,WA,Investor Owned,1.0,1.0,25882,56128,0,82010,73691,0,0,1710,6609,82010,23750.0,0.0,0.0,0.0,0.0,2610.0,82010,9950.0,26750.0,5627.0,13800.0,46941.0,2662.0,0.0,0.0,0.0,0.0,0.0,0.0,23750.0,73691.0,8289.0,2022
