Utility.Number,Utility.Name,Utility.State,Utility.Type,Demand.Summer Peak,Demand.Winter Peak,Sources.Generation,Sources.Purchased,Sources.Other,Sources.Total,Uses.Retail,Uses.Resale,Uses.No Charge,Uses.Consumed,Uses.Losses,Uses.Total,Revenues.Retail,Revenue.Delivery,Revenue.Resale,Revenue.Adjustments,Revenue.Transmission,Revenue.Other,Revenue.Total,Retail.Residential.Revenue,Retail.Residential.Sales,Retail.Residential.Customers,Retail.Commercial.Revenue,Retail.Commercial.Sales,Retail.Commercial.Customers,Retail.Industrial.Revenue,Retail.Industrial.Sales,Retail.Industrial.Customers,Retail.Transportation.Revenue,Retail.Transportation.Sales,Retail.Transportation.Customers,Retail.Total.Revenue,Retail.Total.Sales,Retail.Total.Customers,Year
55,City of Aberdeen - (MS),MS,Municipal,32.7,30.7,0,204875,0,204875,198442,0,0,70,6363,204875,14649.0,0.0,0.0,0.0,0.0,300.5,204875,3644.0,32158.0,2595.0,4980.0,47295.0,661.0,6025.0,118989.0,2.0,0.0,0.0,0.0,14649.0,198442.0,3258.0,2017
59,City of Abbeville - (LA),LA,Municipal,31.4,22.9,0,137537,0,137537,127849,0,0,0,9688,137537,12574.4,0.0,0.0,0.0,0.0,0.0,137537,5279.9,52746.0,4464.0,4082.7,37537.0,1032.0,3211.8,37566.0,27.0,0.0,0.0,0.0,12574.4,127849.0,5523.0,2017
84,A & N Electric Coop,VA,Cooperative,152.6,156.1,19,714961,0,714980,672572,0,0,1687,40721,714980,68496.7,0.0,0.0,0.0,0.0,1008.5,714980,235.3,2047.0,274.0,40.0,346.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,275.3,2393.0,301.0,2017
84,A & N Electric Coop,VA,Cooperative,152.6,156.1,19,714961,0,714980,672572,0,0,1687,40721,714980,68496.7,0.0,0.0,0.0,0.0,1008.5,714980,38308.7,344508.0,31309.0,15960.0,156370.0,3992.0,13952.7,169301.0,8.0,0.0,0.0,0.0,68221.4,670179.0,35309.0,2017
97,Adams Electric Coop,IL,Cooperative,37.0,37.0,4677,170432,0,175109,164358,0,0,318,10433,175109,22070.0,0.0,0.0,0.0,0.0,241.0,175109,16341.0,109301.0,8603.0,5729.0,55057.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,22070.0,164358.0,8825.0,2017
108,Adams-Columbia Electric Coop,WI,Cooperative,109.1,83.4,0,524637,0,524637,493241,35,0,1122,30239,524637,67563.0,0.0,3.0,0.0,0.0,0.0,524637,42976.0,260879.0,34138.0,9189.0,72087.0,2074.0,15398.0,160275.0,926.0,0.0,0.0,0.0,67563.0,493241.0,37138.0,2017
113,Agway Energy Services LLC,NY,Retail Power Marketer,62.0,80.0,0,423959,0,423959,422061,0,0,0,1898,423959,34283.3,0.0,0.0,0.0,0.0,0.0,423959,22670.8,275115.0,36228.0,7973.1,103053.0,6184.0,0.0,0.0,0.0,0.0,0.0,0.0,30643.9,378168.0,42412.0,2017
113,Agway Energy Services LLC,NY,Retail Power Marketer,62.0,80.0,0,423959,0,423959,422061,0,0,0,1898,423959,34283.3,0.0,0.0,0.0,0.0,0.0,423959,2953.2,35374.0,3203.0,686.2,8519.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,3639.4,43893.0,3470.0,2017
118,Adams Rural Electric Coop Inc,OH,Cooperative,22.2,28.7,0,110314,0,110314,103329,0,119,0,6866,110314,14853.0,0.0,0.0,0.0,0.0,401.0,110314,12805.0,87563.0,7136.0,2048.0,15766.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,14853.0,103329.0,7500.0,2017
122,Village of Arcade - (NY),NY,Municipal,23.1,37.8,0,156270,0,156270,150083,0,0,697,5490,156270,7186.0,0.0,0.0,0.0,0.0,514.0,156270,3600.0,69274.0,3619.0,1923.0,41552.0,587.0,1663.0,39257.0,15.0,0.0,0.0,0.0,7186.0,150083.0,4221.0,2017
