Utility.Number,Utility.Name,Utility.State,Utility.Type,Demand.Summer Peak,Demand.Winter Peak,Sources.Generation,Sources.Purchased,Sources.Other,Sources.Total,Uses.Retail,Uses.Resale,Uses.No Charge,Uses.Consumed,Uses.Losses,Uses.Total,Revenues.Retail,Revenue.Delivery,Revenue.Resale,Revenue.Adjustments,Revenue.Transmission,Revenue.Other,Revenue.Total,Retail.Residential.Revenue,Retail.Residential.Sales,Retail.Residential.Customers,Retail.Commercial.Revenue,Retail.Commercial.Sales,Retail.Commercial.Customers,Retail.Industrial.Revenue,Retail.Industrial.Sales,Retail.Industrial.Customers,Retail.Transportation.Revenue,Retail.Transportation.Sales,Retail.Transportation.Customers,Retail.Total.Revenue,Retail.Total.Sales,Retail.Total.Customers,Year
232,City of Albemarle - (NC),NC,Municipal,62.9,55.9,0,279487,0,279487,261018,0,93,0,18376,279487,29687.8,0.0,0.0,0.0,0.0,120.9,279487,15609.8,123749.0,10064.0,12088.8,114115.0,2238.0,1989.2,23154.0,12.0,0.0,0.0,0.0,29687.8,261018.0,12314.0,2020
240,Albemarle Electric Member Corp,NC,Cooperative,58.3,57.5,0,227857,0,227857,213955,0,0,577,13325,227857,28479.0,0.0,0.0,0.0,0.0,975.0,227857,24077.0,175123.0,12140.0,3914.0,33015.0,1096.0,488.0,5817.0,23.0,0.0,0.0,0.0,28479.0,213955.0,13259.0,2020
241,Albertville Municipal Utilities Board,AL,Municipal,103.0,101.0,0,616356,0,616356,593337,0,0,0,23019,616356,45079.0,0.0,0.0,0.0,0.0,692.4,616356,11171.0,116060.0,8147.0,16976.0,169341.0,2233.0,16932.0,307936.0,15.0,0.0,0.0,0.0,45079.0,593337.0,10395.0,2020
261,AGC Division of APG Inc,PA,Investor Owned,347.5,354.1,4191822,224094,0,4415916,3204302,1161480,0,0,50134,4415916,144014.1,0.0,26634.7,885.2,0.0,1893.0,4415916,0.0,0.0,0.0,0.0,0.0,0.0,144014.1,3204302.0,1.0,0.0,0.0,0.0,144014.1,3204302.0,1.0,2020
276,Alcorn County Elec Power Assn,MS,Cooperative,120.0,95.0,0,586452,0,586452,561493,0,0,842,24116,586452,51515.0,0.0,0.0,0.0,0.0,1414.0,586452,23660.0,208352.0,14808.0,18105.0,148913.0,4058.0,9750.0,204228.0,6.0,0.0,0.0,0.0,51515.0,561493.0,18872.0,2020
295,City of Alexandria - (MN),MN,Municipal,55.5,46.2,64,282352,0,282416,273321,0,0,0,9095,282416,24853.1,0.0,0.0,0.0,0.0,1837.3,282416,8337.6,80191.0,8360.0,3575.3,33689.0,1693.0,12940.2,159441.0,210.0,0.0,0.0,0.0,24853.1,273321.0,10263.0,2020
296,Alfalfa Electric Coop Inc,OK,Cooperative,81.5,90.5,0,541887,0,541887,524777,0,0,410,16700,541887,41473.0,0.0,0.0,0.0,0.0,223.0,541887,365.0,3738.0,214.0,786.0,5347.0,705.0,777.0,9693.0,7.0,0.0,0.0,0.0,1928.0,18778.0,926.0,2020
296,Alfalfa Electric Coop Inc,OK,Cooperative,81.5,90.5,0,541887,0,541887,524777,0,0,410,16700,541887,41473.0,0.0,0.0,0.0,0.0,223.0,541887,4738.0,49178.0,2690.0,5329.0,36989.0,4680.0,29478.0,419832.0,224.0,0.0,0.0,0.0,39545.0,505999.0,7594.0,2020
298,City of Alexandria - (LA),LA,Municipal,161.0,116.0,86754,707782,0,794536,645218,86754,0,12183,50381,794536,59284.0,0.0,2949.0,0.0,0.0,0.0,794536,26365.0,279970.0,20058.0,32504.0,359695.0,3867.0,415.0,5553.0,6.0,0.0,0.0,0.0,59284.0,645218.0,23931.0,2020
305,Alger-Delta Coop Electric Assn,MI,Cooperative,17.9,14.7,0,90047,0,90047,80410,0,0,0,9637,90047,15351.5,0.0,0.0,0.0,0.0,0.0,90047,10634.3,52294.0,9661.0,2379.4,15239.0,546.0,2337.8,12877.0,1.0,0.0,0.0,0.0,15351.5,80410.0,10208.0,2020
307,Algoma Utility Comm,WI,Municipal,7.3,6.0,0,38250,0,38250,36462,0,0,76,1712,38250,3831.8,0.0,0.0,0.0,0.0,29.7,38250,1424.1,11514.0,1670.0,1829.7,17599.0,368.0,578.0,7349.0,1.0,0.0,0.0,0.0,3831.8,36462.0,2039.0,2020
332,Allegheny Electric Coop Inc,PA,Cooperative,764.0,735.0,2084249,1721345,0,3808656,0,3741220,0,0,67436,3808656,0.0,0.0,182862.0,0.0,2600.0,3764.0,3808656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
343,AEP Generating Company,OH,Investor Owned,1192.0,1194.0,2019392,0,0,2019392,0,2019392,0,0,0,2019392,0.0,0.0,246848.0,0.0,0.0,435.0,2019392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
392,Alpena Power Co,MI,Investor Owned,62.0,49.0,0,375110,0,375110,360874,0,0,105,14131,375110,34706.8,0.0,0.0,0.0,0.0,283.1,375110,12578.1,89297.0,13711.0,11496.4,92173.0,2839.0,10632.3,179404.0,4.0,0.0,0.0,0.0,34706.8,360874.0,16554.0,2020
407,Altamaha Electric Member Corp,GA,Cooperative,93.2,93.4,0,403701,0,403701,403701,0,0,0,0,403701,51248.0,0.0,0.0,0.0,0.0,295.0,403701,31586.0,228375.0,18827.0,10694.0,70058.0,1877.0,8968.0,105268.0,232.0,0.0,0.0,0.0,51248.0,403701.0,20936.0,2020
471,Amana Society Service Co,IA,Investor Owned,15.0,14.0,1575,86736,0,88311,85371,0,0,0,2940,88311,7352.0,0.0,0.0,0.0,0.0,130.0,88311,951.0,7195.0,710.0,948.0,7950.0,179.0,5453.0,70226.0,1.0,0.0,0.0,0.0,7352.0,85371.0,890.0,2020
540,BP Energy Company,TX,Retail Power Marketer,0.0,0.0,0,968831,0,968831,968831,0,0,0,0,968831,30069.0,0.0,0.0,0.0,0.0,0.0,968831,0.0,0.0,0.0,0.0,0.0,0.0,22982.0,849371.0,2.0,0.0,0.0,0.0,22982.0,849371.0,2.0,2020
540,BP Energy Company,TX,Retail Power Marketer,0.0,0.0,0,968831,0,968831,968831,0,0,0,0,968831,30069.0,0.0,0.0,0.0,0.0,0.0,968831,0.0,0.0,0.0,0.0,0.0,0.0,7087.0,119460.0,3.0,0.0,0.0,0.0,7087.0,119460.0,3.0,2020
554,City of Ames - (IA),IA,Municipal,154.3,112.1,244280,503290,0,747570,618595,102606,0,426,25943,747570,55830.8,0.0,2346.3,0.0,1324.7,7566.0,747570,20123.0,173423.0,24342.0,26033.8,319678.0,3050.0,9674.0,125494.0,7.0,0.0,0.0,0.0,55830.8,618595.0,27399.0,2020
562,Amicalola Electric Member Corp,GA,Cooperative,192.6,217.0,0,807278,0,807278,750747,0,0,1056,55475,807278,86788.8,0.0,0.0,0.0,0.0,3218.4,807278,72888.5,641083.0,45653.0,13900.3,109664.0,5176.0,0.0,0.0,0.0,0.0,0.0,0.0,86788.8,750747.0,50829.0,2020
571,City of Amory,MS,Municipal,28.0,20.0,0,124032,0,124032,120030,0,0,0,4002,124032,12065.0,0.0,0.0,0.0,0.0,333.1,124032,3905.0,37199.0,2861.0,5632.0,50598.0,1138.0,2528.0,32233.0,3.0,0.0,0.0,0.0,12065.0,120030.0,4002.0,2020
577,City of Alcoa Utilities,TN,Municipal,143.0,141.0,0,627259,0,627259,597611,0,0,6,29642,627259,63584.0,0.0,0.0,0.0,0.0,1795.2,627259,41001.0,383123.0,26302.0,22447.0,213487.0,3882.0,136.0,1001.0,1.0,0.0,0.0,0.0,63584.0,597611.0,30185.0,2020
590,City of Anaheim - (CA),CA,Municipal,559.0,372.0,0,2678663,0,2678663,2085895,523592,0,0,69176,2678663,351449.0,0.0,14498.0,0.0,39673.0,21116.0,2678663,95299.0,554067.0,103366.0,125383.0,686272.0,17446.0,130767.0,845556.0,290.0,0.0,0.0,0.0,351449.0,2085895.0,121102.0,2020
