Utility.Number,Utility.Name,Utility.State,Utility.Type,Demand.Summer Peak,Demand.Winter Peak,Sources.Generation,Sources.Purchased,Sources.Other,Sources.Total,Uses.Retail,Uses.Resale,Uses.No Charge,Uses.Consumed,Uses.Losses,Uses.Total,Revenues.Retail,Revenue.Delivery,Revenue.Resale,Revenue.Adjustments,Revenue.Transmission,Revenue.Other,Revenue.Total,Retail.Residential.Revenue,Retail.Residential.Sales,Retail.Residential.Customers,Retail.Commercial.Revenue,Retail.Commercial.Sales,Retail.Commercial.Customers,Retail.Industrial.Revenue,Retail.Industrial.Sales,Retail.Industrial.Customers,Retail.Transportation.Revenue,Retail.Transportation.Sales,Retail.Transportation.Customers,Retail.Total.Revenue,Retail.Total.Sales,Retail.Total.Customers,Year
55,City of Aberdeen - (MS),MS,Municipal,31.6,32.7,0,197438,0,197438,190890,0,0,0,6548,197438,14946.0,0.0,0.0,0.0,0.0,197.1,197438,4211.0,34239.0,2592.0,3550.0,29391.0,736.0,7185.0,127260.0,2.0,0.0,0.0,0.0,14946.0,190890.0,3330.0,2024
84,A & N Electric Coop,VA,Cooperative,158.9,168.4,306,741334,0,741640,708441,0,0,1870,31329,741640,84424.5,0.0,0.0,0.0,0.0,1340.6,741640,304.8,2226.0,253.0,76.8,567.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,381.6,2793.0,295.0,2024
84,A & N Electric Coop,VA,Cooperative,158.9,168.4,306,741334,0,741640,708441,0,0,1870,31329,741640,84424.5,0.0,0.0,0.0,0.0,1340.6,741640,47920.5,368014.0,33096.0,20100.4,172568.0,4238.0,16022.0,165066.0,7.0,0.0,0.0,0.0,84042.9,705648.0,37341.0,2024
108,Adams-Columbia Electric Coop,WI,Cooperative,137.0,95.5,0,629072,0,629072,598848,94,951,29179,0,629072,80809.0,0.0,7.0,0.0,0.0,47.0,629072,46745.0,265097.0,35910.0,11973.0,92563.0,2518.0,22091.0,241188.0,1027.0,0.0,0.0,0.0,80809.0,598848.0,39455.0,2024
113,Agway Energy Services LLC,NY,Retail Power Marketer,30.4,24.1,0,133484,0,133484,132391,0,0,0,1093,133484,17267.0,0.0,0.0,0.0,0.0,0.0,133484,2.5,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,22.0,2.0,2024
113,Agway Energy Services LLC,NY,Retail Power Marketer,30.4,24.1,0,133484,0,133484,132391,0,0,0,1093,133484,17267.0,0.0,0.0,0.0,0.0,0.0,133484,12807.3,96155.0,13406.0,3389.3,26847.0,2248.0,0.0,0.0,0.0,0.0,0.0,0.0,16196.6,123002.0,15654.0,2024
113,Agway Energy Services LLC,NY,Retail Power Marketer,30.4,24.1,0,133484,0,133484,132391,0,0,0,1093,133484,17267.0,0.0,0.0,0.0,0.0,0.0,133484,972.7,8449.0,945.0,95.2,918.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1067.9,9367.0,991.0,2024
155,Agralite Electric Coop,MN,Cooperative,42.6,38.5,809,258375,0,259184,242880,0,0,320,15984,259184,25348.0,0.0,0.0,-700.0,0.0,248.8,259184,9568.0,68617.0,4333.0,6218.0,68440.0,436.0,9562.0,105823.0,628.0,0.0,0.0,0.0,25348.0,242880.0,5397.0,2024
162,Aiken Electric Coop Inc,SC,Cooperative,246.3,277.5,0,1036675,0,1036675,993900,0,0,1191,41584,1036675,134123.4,0.0,0.0,0.0,0.0,6708.3,1036675,101066.1,650960.0,49460.0,18578.6,142543.0,3364.0,14478.7,200397.0,15.0,0.0,0.0,0.0,134123.4,993900.0,52839.0,2024
176,Ajo Improvement Co,AZ,Investor Owned,3.4,1.6,0,8711,0,8711,8711,0,0,0,0,8711,1057.2,0.0,0.0,0.0,0.0,0.0,8711,678.0,5396.0,821.0,379.2,3315.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,1057.2,8711.0,1031.0,2024
